"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_latitude","from_longitude","from_location","to_latitude","to_longitude","to_location"
"25956475","2019-12-29T17:34:58.000","2019-12-29T17:55:39.000","3298","1241","3","Shedd Aquarium","36","Franklin St & Jackson Blvd","Customer",,,"41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.877707956","-87.635321141","POINT (-87.6353211408 41.8777079559)"
"25956474","2019-12-29T17:34:54.000","2019-12-29T17:55:39.000","2265","1245","3","Shedd Aquarium","36","Franklin St & Jackson Blvd","Customer",,,"41.867225957","-87.61535539","POINT (-87.6153553902 41.86722595682)","41.877707956","-87.635321141","POINT (-87.6353211408 41.8777079559)"
"25956473","2019-12-29T17:34:51.000","2019-12-29T18:10:29.000","1061","2138","126","Clark St & North Ave","465","Marine Dr & Ainslie St","Customer","Male","1978","41.911974","-87.631942","POINT (-87.631942 41.911974)","41.9716","-87.650154","POINT (-87.650154 41.9716)"
"25956472","2019-12-29T17:34:49.000","2019-12-29T18:05:50.000","4757","1861","85","Michigan Ave & Oak St","300","Broadway & Barry Ave","Customer",,,"41.90096039","-87.62377664","POINT (-87.62377664 41.90096039)","41.937725","-87.644095","POINT (-87.644095 41.937725)"
"25956470","2019-12-29T17:34:27.000","2019-12-29T17:46:31.000","1124","723","168","Michigan Ave & 14th St","90","Millennium Park","Customer","Male","1982","41.864059","-87.623727","POINT (-87.623727 41.864059)","41.8810317","-87.62408432","POINT (-87.62408432 41.8810317)"
"25956468","2019-12-29T17:33:39.000","2019-12-29T17:50:24.000","4696","1004","76","Lake Shore Dr & Monroe St","4","Burnham Harbor","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.856268","-87.613348","POINT (-87.613348 41.856268)"
"25956466","2019-12-29T17:33:37.000","2019-12-29T17:50:22.000","199","1004","76","Lake Shore Dr & Monroe St","4","Burnham Harbor","Customer",,,"41.880958","-87.616743","POINT (-87.616743 41.880958)","41.856268","-87.613348","POINT (-87.613348 41.856268)"
"25956465","2019-12-29T17:33:15.000","2019-12-29T17:57:10.000","5280","1434","212","Wells St & Hubbard St","183","Damen Ave & Thomas St (Augusta Blvd)","Customer",,,"41.889906","-87.634266","POINT (-87.634266 41.889906)","41.901315","-87.677409","POINT (-87.677409 41.901315)"
"25956456","2019-12-29T17:32:23.000","2019-12-29T17:48:09.000","935","946","282","Halsted St & Maxwell St","134","Peoria St & Jackson Blvd","Customer","Male","1966","41.864883","-87.647071","POINT (-87.647071 41.864883)","41.877641596","-87.649617791","POINT (-87.649617791176 41.877641596275)"
"25956439","2019-12-29T17:29:21.000","2019-12-29T17:54:52.000","2084","1531","334","Lake Shore Dr & Belmont Ave","318","Southport Ave & Irving Park Rd","Customer",,,"41.940775","-87.639192","POINT (-87.639192 41.940775)","41.954177","-87.664358","POINT (-87.664358 41.954177)"
"25956438","2019-12-29T17:29:09.000","2019-12-29T18:14:30.000","4519","2720","296","Broadway & Belmont Ave","38","Clark St & Lake St","Customer","Male","1986","41.940106","-87.645451","POINT (-87.645451 41.940106)","41.886020828","-87.630876058","POINT (-87.6308760584 41.88602082773)"
"25956437","2019-12-29T17:29:08.000","2019-12-29T18:14:27.000","5972","2718","296","Broadway & Belmont Ave","38","Clark St & Lake St","Customer","Male","1971","41.940106","-87.645451","POINT (-87.645451 41.940106)","41.886020828","-87.630876058","POINT (-87.6308760584 41.88602082773)"
"25956428","2019-12-29T17:27:22.000","2019-12-29T17:42:32.000","4158","909","309","Leavitt St & Armitage Ave","152","Lincoln Ave & Diversey Pkwy","Customer","Male","1987","41.917805","-87.682437","POINT (-87.682437 41.917805)","41.932225","-87.658617","POINT (-87.658617 41.932225)"
"25956425","2019-12-29T17:26:37.000","2019-12-29T17:40:09.000","2368","811","166","Ashland Ave & Wrightwood Ave","244","Ravenswood Ave & Irving Park Rd","Customer",,,"41.92883","-87.668507","POINT (-87.668507 41.92883)","41.95469","-87.67393","POINT (-87.67393 41.95469)"
"25956395","2019-12-29T17:20:30.000","2019-12-29T17:31:10.000","4291","639","112","Green St & Randolph St","19","Throop (Loomis) St & Taylor St","Customer",,,"41.883668","-87.64867","POINT (-87.64867 41.883668)","41.868968","-87.659141","POINT (-87.659141 41.868968)"
"25956387","2019-12-29T17:19:01.000","2019-12-29T17:38:19.000","5942","1157","164","Franklin St & Lake St","71","Morgan St & Lake St","Customer",,,"41.885837","-87.6355","POINT (-87.6355 41.885837)","41.885483308","-87.652304856","POINT (-87.6523048564 41.8854833079)"
"25956386","2019-12-29T17:18:58.000","2019-12-29T17:31:36.000","4705","757","112","Green St & Randolph St","19","Throop (Loomis) St & Taylor St","Customer","Male","1997","41.883668","-87.64867","POINT (-87.64867 41.883668)","41.868968","-87.659141","POINT (-87.659141 41.868968)"
"25956388","2019-12-29T17:18:56.000","2019-12-29T17:38:14.000","5209","1158","164","Franklin St & Lake St","71","Morgan St & Lake St","Customer",,,"41.885837","-87.6355","POINT (-87.6355 41.885837)","41.885483308","-87.652304856","POINT (-87.6523048564 41.8854833079)"
"25956385","2019-12-29T17:18:56.000","2019-12-29T19:13:26.000","2800","6869","59","Wabash Ave & Roosevelt Rd","125","Rush St & Hubbard St","Customer",,,"41.867227","-87.625961","POINT (-87.625961 41.867227)","41.890173","-87.626185","POINT (-87.626185 41.890173)"
"25956384","2019-12-29T17:18:45.000","2019-12-29T17:38:15.000","1647","1170","164","Franklin St & Lake St","71","Morgan St & Lake St","Customer",,,"41.885837","-87.6355","POINT (-87.6355 41.885837)","41.885483308","-87.652304856","POINT (-87.6523048564 41.8854833079)"
"25956376","2019-12-29T17:16:58.000","2019-12-29T17:28:23.000","5449","684","112","Green St & Randolph St","320","Loomis St & Lexington St","Customer",,,"41.883668","-87.64867","POINT (-87.64867 41.883668)","41.872187","-87.661501","POINT (-87.661501 41.872187)"
"25956370","2019-12-29T17:15:00.000","2019-12-29T18:42:59.000","3761","5279","19","Throop (Loomis) St & Taylor St","19","Throop (Loomis) St & Taylor St","Customer",,,"41.868968","-87.659141","POINT (-87.659141 41.868968)","41.868968","-87.659141","POINT (-87.659141 41.868968)"
"25956369","2019-12-29T17:14:39.000","2019-12-29T17:39:34.000","3869","1494","99","Lake Shore Dr & Ohio St","177","Theater on the Lake","Customer","Male","1995","41.89257","-87.614492","POINT (-87.614492 41.89257)","41.926277","-87.630834","POINT (-87.630834 41.926277)"
"25956368","2019-12-29T17:14:23.000","2019-12-29T17:39:42.000","2383","1518","99","Lake Shore Dr & Ohio St","177","Theater on the Lake","Customer","Male","1995","41.89257","-87.614492","POINT (-87.614492 41.89257)","41.926277","-87.630834","POINT (-87.630834 41.926277)"
"25956367","2019-12-29T17:14:06.000","2019-12-29T17:25:49.000","1937","703","341","Adler Planetarium","76","Lake Shore Dr & Monroe St","Customer",,,"41.866095","-87.607267","POINT (-87.607267 41.866095)","41.880958","-87.616743","POINT (-87.616743 41.880958)"
"25956358","2019-12-29T17:12:24.000","2019-12-29T17:25:25.000","665","781","234","Clark St & Montrose Ave","463","Clark St & Berwyn Ave","Customer","Male","1989","41.961588","-87.666036","POINT (-87.666036 41.961588)","41.977996654","-87.668047105","POINT (-87.6680471047 41.9779966544)"
"25956347","2019-12-29T17:09:42.000","2019-12-29T17:21:27.000","2594","704","290","Kedzie Ave & Palmer Ct","216","California Ave & Division St","Customer","Male","1991","41.921525","-87.707322","POINT (-87.707322 41.921525)","41.903029","-87.697474","POINT (-87.697474 41.903029)"
